year,state,median_sale_price,homes_sold
2018-03-01,New Jersey,281600,1195
2013-03-01,Columbia,370000,253
2019-02-01,Ohio,154400,6966
2014-04-01,Oklahoma,126400,38
2013-05-01,Utah,224000,54
2012-10-01,Utah,215300,2401
2016-09-01,Idaho,264900,40
2016-02-01,Kentucky,140400,2217
2016-01-01,Kentucky,149800,1821
2019-04-01,Oregon,328800,237
2021-12-01,Hawaii,1000000,5
2013-08-01,Colorado,348300,54
2021-04-01,Illinois,269400,3656
2022-03-01,Tennessee,367800,8139
2016-02-01,Texas,207300,17024
2021-03-01,Oregon,391000,263
2017-10-01,Pennsylvania,127200,270
2017-10-01,Mississippi,168300,1186
2021-08-01,Nevada,302100,443
2014-09-01,Alabama,130500,84
2013-10-01,Illinois,154500,2380
2019-10-01,Rhode Island,284100,184
2020-07-01,Tennessee,293000,8848
2020-03-01,New Mexico,308300,16
